Transaction date,Transaction,Name,Memo,Amount
1/1/2017,DEBIT,GROUPON CANADA INC 877-788-7858 ,Rewards earned: 0.21 ~ Category: Other,-21
1/2/2017,DEBIT,GROUPON CANADA INC 877-788-7858 ,Rewards earned: 0.42 ~ Category: Other,-42
1/2/2017,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 2.46 ~ Category: Groceries,-123.07
1/2/2017,DEBIT,ESSO ORONO ON,Rewards earned: 0.42 ~ Category: Gas,-21.04
1/3/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.17 ~ Category: Groceries,-8.49
1/3/2017,DEBIT,SUN LIFE CHOICES A&A 800-669-792,Rewards earned: 5.05 ~ Category: Bill Payment,-252.32
1/3/2017,DEBIT,GAP OUTLET 1786 TORONTO ON,Rewards earned: 0.13 ~ Category: Other,-12.98
1/3/2017,DEBIT,WINNERS 319 TORONTO ON,Rewards earned: 0.31 ~ Category: Other,-30.51
1/3/2017,CREDIT,HOMESENSE 107 TORONTO ON,Rewards earned: -0.17 ~ Category: Other,16.95
1/3/2017,CREDIT,HOMESENSE 107 TORONTO ON,Rewards earned: -0.23 ~ Category: Other,22.59
1/3/2017,DEBIT,ARDENE #453 TORONTO ON,Rewards earned: 0.15 ~ Category: Other,-15.26
1/3/2017,DEBIT,REITMANS #94 TORONTO ON,Rewards earned: 0.18 ~ Category: Other,-18.08
1/3/2017,DEBIT,DYNAMITE #289 TORONTO ON,Rewards earned: 0.23 ~ Category: Other,-22.6
1/3/2017,DEBIT,WAL-MART #3106 TORONTO ON,Rewards earned: 0.08 ~ Category: Groceries,-4.11
1/4/2017,DEBIT,ESSO NORTH YORK ON,Rewards earned: 1.36 ~ Category: Gas,-67.98
1/4/2017,DEBIT,MIRIAMS GIFT GALLERY TORONTO ON,Rewards earned: 0.36 ~ Category: Other,-35.7
1/4/2017,DEBIT,UBER CA JAN04 WYWLC HE help.uber,Rewards earned: 0.25 ~ Category: Bill Payment,-12.67
1/5/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.11 ~ Category: Groceries,-5.61
1/5/2017,DEBIT,DR. SAMUEL AXELROD & A NORTH YOR,Rewards earned: 1.03 ~ Category: Other,-103.2
1/5/2017,DEBIT,3M LAWRENCE PHARMACY NORTH YORK ,Rewards earned: 0.65 ~ Category: Drug Store,-65.27
1/6/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.34 ~ Category: Groceries,-16.89
1/8/2017,DEBIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: 1.01 ~ Category: Other,-101.48
1/8/2017,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 1.83 ~ Category: Groceries,-91.49
1/9/2017,DEBIT,ABE'S SERVICE CENTRE NORTH YORK ,Rewards earned: 4.53 ~ Category: Other,-453.13
1/9/2017,DEBIT,Udemy San Francisco CA USA,Rewards earned: 0.15 ~ Category: Other,-15
1/9/2017,DEBIT,ESSO NORTH YORK ON,Rewards earned: 0.87 ~ Category: Gas,-43.38
1/9/2017,DEBIT,PETROCAN NORTH YORK ON,Rewards earned: 0.53 ~ Category: Gas,-26.5
1/10/2017,DEBIT,LOBLAW SUPERMARKET #10 TORONTO O,Rewards earned: 1.41 ~ Category: Groceries,-70.26
1/10/2017,DEBIT,URTH FINE FOODS INC NORTH YORK O,Rewards earned: 0.25 ~ Category: Restaurant,-25.26
1/11/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.33 ~ Category: Groceries,-16.49
1/15/2017,DEBIT,HUSKY MARLEE HUSKY #27 NORTH YOR,Rewards earned: 0.92 ~ Category: Gas,-45.92
1/15/2017,CREDIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: -1.72 ~ Category: Other,171.7
1/15/2017,DEBIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: 0.70 ~ Category: Other,-69.52
1/15/2017,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 1.65 ~ Category: Groceries,-82.7
1/16/2017,DEBIT,BETH OLOTH 646-6809942 ON,Rewards earned: 0.18 ~ Category: Other,-18
1/19/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.86 ~ Category: Groceries,-42.76
1/19/2017,DEBIT,DR. SAMUEL AXELROD & A NORTH YOR,Rewards earned: 0.40 ~ Category: Other,-39.6
1/21/2017,DEBIT,SP * MOSTLY MUSIC 7184382766 NY ,Rewards earned: 0.14 ~ Category: Other,-13.55
1/22/2017,DEBIT,OLD NAVY CANADA 3392 TORONTO ON,Rewards earned: 0.03 ~ Category: Other,-3.14
1/22/2017,DEBIT,GAP KIDS CANADA 9532 TORONTO ON,Rewards earned: 0.19 ~ Category: Other,-18.65
1/22/2017,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 2.07 ~ Category: Groceries,-103.45
1/22/2017,DEBIT,WAL-MART # 3105 TORONTO ON,Rewards earned: 0.51 ~ Category: Other,-50.55
1/23/2017,DEBIT,PETROCAN THORNHILL ON,Rewards earned: 0.50 ~ Category: Gas,-25.17
1/23/2017,DEBIT,HERMES BAKERY LTD NORTH YORK ON,Rewards earned: 0.26 ~ Category: Groceries,-13.19
1/24/2017,DEBIT,WAL-MART #5831 THORNHILL ON,Rewards earned: 0.46 ~ Category: Groceries,-23.24
1/24/2017,DEBIT,SHOPPERS DRUG MART #08 NORTH YOR,Rewards earned: 0.10 ~ Category: Drug Store,-10.31
1/25/2017,DEBIT,ESSO NORTH YORK ON,Rewards earned: 0.72 ~ Category: Gas,-35.98
1/26/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.20 ~ Category: Groceries,-9.76
1/26/2017,DEBIT,VESTA *CHATR 888-278-5588 BC,Rewards earned: 0.57 ~ Category: Bill Payment,-28.25
1/29/2017,DEBIT,KEEPCALLING COM 866-5358095 GA U,Rewards earned: 0.05 ~ Category: Other,-5
1/30/2017,DEBIT,ESSO NORTH YORK ON,Rewards earned: 0.74 ~ Category: Gas,-36.82
1/30/2017,DEBIT,DR LLOYD HOFFMAN DENTI RICHMOND ,Rewards earned: 3.49 ~ Category: Other,-349
1/31/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.06 ~ Category: Groceries,-2.99
2/1/2017,DEBIT,THE CHILDRENS PLACE MISSISSAUGA ,Rewards earned: 0.63 ~ Category: Other,-62.88
2/1/2017,DEBIT,APL* ITUNES.COM/BILL 800-676-277,Rewards earned: 0.01 ~ Category: Other,-0.99
2/2/2017,DEBIT,SUN LIFE CHOICES A&A 800-669-792,Rewards earned: 5.05 ~ Category: Bill Payment,-252.32
2/2/2017,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 2.07 ~ Category: Groceries,-103.3
2/5/2017,DEBIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: 1.33 ~ Category: Other,-133.27
2/5/2017,DEBIT,SHOPPERS DRUG MART #08 NORTH YOR,Rewards earned: 0.31 ~ Category: Drug Store,-31.28
2/7/2017,DEBIT,ORANGE SQUARE INC NORTH YORK ON,Rewards earned: 0.32 ~ Category: Other,-32.24
2/7/2017,DEBIT,MIDRASH SHMUEL TEL9175893004 NY ,Rewards earned: 1.45 ~ Category: Other,-144.53
2/7/2017,DEBIT,SERVICEONTARIO MIDTOWN TORONTO O,Rewards earned: 15.34 ~ Category: Other,-1533.6
2/8/2017,DEBIT,WAL-MART # 3105 TORONTO ON,Rewards earned: 0.42 ~ Category: Other,-41.72
2/9/2017,CREDIT,PREAUTHORIZED PAYMENT,,2184.44
2/9/2017,DEBIT,LOBLAW SUPERMARKET #10 TORONTO O,Rewards earned: 0.55 ~ Category: Groceries,-27.57
2/9/2017,DEBIT,COSTCO.CA *ONLINE 800-955-2292 B,Rewards earned: 2.42 ~ Category: Other,-241.81
2/9/2017,DEBIT,URTH FINE FOODS INC NORTH YORK O,Rewards earned: 0.28 ~ Category: Restaurant,-27.69
2/9/2017,DEBIT,CDN TIRE STORE #00019 NORTH YORK,Rewards earned: 0.95 ~ Category: Home Improvement,-94.86
2/10/2017,DEBIT,Amazon.ca AMAZON.CA ON,Rewards earned: 0.28 ~ Category: Other,-28.19
2/10/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 1.00 ~ Category: Groceries,-50.14
2/11/2017,DEBIT,WAL-MART #5831 THORNHILL ON,Rewards earned: 0.81 ~ Category: Groceries,-40.29
2/11/2017,DEBIT,Amazon.ca AMAZON.CA ON,Rewards earned: 0.14 ~ Category: Other,-14.35
2/11/2017,DEBIT,D-LITE'S INC. THORNHILL ON,Rewards earned: 0.35 ~ Category: Restaurant,-35.44
2/12/2017,DEBIT,TOYS R US #3505 THORNHILL ON,Rewards earned: 0.25 ~ Category: Other,-25.06
2/13/2017,DEBIT,ESSO NORTH YORK ON,Rewards earned: 1.41 ~ Category: Gas,-70.54
2/13/2017,DEBIT,SEARS CDA WOODBINE CEN REXDALE O,Rewards earned: 0.10 ~ Category: Other,-10.25
2/13/2017,DEBIT,CARTER'S OSHKOSH #0 ETOBICOKE ON,Rewards earned: 1.03 ~ Category: Other,-103.12
2/13/2017,DEBIT,CARTER'S OSHKOSH #0 ETOBICOKE ON,Rewards earned: 0.73 ~ Category: Other,-73.49
2/14/2017,DEBIT,ABE'S SERVICE CENTRE NORTH YORK ,Rewards earned: 0.71 ~ Category: Other,-71.18
2/15/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.11 ~ Category: Groceries,-5.48
2/16/2017,DEBIT,CARTER'S OSHKOSH #4 TORONTO ON,Rewards earned: 0.20 ~ Category: Other,-20.14
2/16/2017,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 2.09 ~ Category: Groceries,-104.41
2/17/2017,DEBIT,PERSONAL INSURANCE COM MISSISSAU,Rewards earned: 3.78 ~ Category: Bill Payment,-189
2/17/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.35 ~ Category: Groceries,-17.4
2/17/2017,DEBIT,WAL-MART # 3105 TORONTO ON,Rewards earned: 0.48 ~ Category: Other,-47.94
2/17/2017,DEBIT,CARTER'S OSHKOSH #4 TORONTO ON,Rewards earned: 0.71 ~ Category: Other,-70.56
2/18/2017,DEBIT,WALMART.CA Mississauga ON,Rewards earned: 0.59 ~ Category: Other,-59.15
2/19/2017,DEBIT,IKEA NORTH YORK NORTH YORK ON,Rewards earned: 0.53 ~ Category: Furniture,-53.02
2/19/2017,DEBIT,IKEA NORTH YORK NORTH YORK ON,Rewards earned: 0.37 ~ Category: Furniture,-37.24
2/20/2017,DEBIT,HUSKY MARLEE HUSKY #27 NORTH YOR,Rewards earned: 0.82 ~ Category: Gas,-40.92
2/20/2017,DEBIT,AROMA BATHUST & WILSON NORTH YOR,Rewards earned: 0.18 ~ Category: Restaurant,-18.08
2/21/2017,DEBIT,LOBLAW SUPERMARKET #10 TORONTO O,Rewards earned: 0.77 ~ Category: Groceries,-38.66
2/21/2017,DEBIT,INDIGO - 685 SHEPPARD NORTH YORK,Rewards earned: 0.05 ~ Category: Parking,-5
2/22/2017,DEBIT,HERMES BAKERY LTD NORTH YORK ON,Rewards earned: 0.31 ~ Category: Groceries,-15.71
2/22/2017,DEBIT,ESSO NORTH YORK ON,Rewards earned: 0.98 ~ Category: Gas,-49.15
2/22/2017,DEBIT,JUSTIN'S NO FRILLS 314 THORNHILL,Rewards earned: 1.29 ~ Category: Groceries,-64.57
2/26/2017,DEBIT,VESTA *CHATR 888-278-5588 BC,Rewards earned: 0.57 ~ Category: Bill Payment,-28.25
2/26/2017,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.18 ~ Category: Groceries,-8.99
2/27/2017,DEBIT,DR. LAFFA THORNHILL ON,Rewards earned: 0.27 ~ Category: Restaurant,-27.1
2/28/2017,DEBIT,WAL-MART # 3105 TORONTO ON,Rewards earned: 0.27 ~ Category: Other,-27.08
2/28/2017,DEBIT,SHOPPERS DRUG MART #08 TORONTO O,Rewards earned: 0.05 ~ Category: Drug Store,-4.73
2/28/2017,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 1.41 ~ Category: Groceries,-70.65
3/2/2017,DEBIT,SUN LIFE CHOICES A&A 800-669-792,Rewards earned: 5.05 ~ Category: Bill Payment,-252.32
