Transaction date,Transaction,Name,Memo,Amount
6/7/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.57 ~ Category: Groceries,-14.17
6/7/2016,DEBIT,DR LAFFA ON THE GO TORONTO ON,Rewards earned: 1.08 ~ Category: Restaurant,-27.1
6/6/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 1.93 ~ Category: Groceries,-48.16
6/6/2016,DEBIT,ESSO NORTH YORK ON,Rewards earned: 1.82 ~ Category: Gas,-45.6
6/2/2016,CREDIT,PAYMENT - THANK YOU,,2564.94
6/2/2016,CREDIT,PAYMENT - THANK YOU,,892.96
6/1/2016,DEBIT,COLLEGE OF OCCUPATIONA TORONTO O,Rewards earned: 7.43 ~ Category: Other,-743.03
5/30/2016,DEBIT,ESSO NORTH YORK ON,Rewards earned: 1.19 ~ Category: Gas,-29.73
5/29/2016,DEBIT,FORTINO'S NORTH YORK ON,Rewards earned: 0.47 ~ Category: Groceries,-11.73
5/27/2016,DEBIT,BEST BUY.CA # 900 MISSISSAUGA ON,Rewards earned: 0.97 ~ Category: Other,-96.89
5/26/2016,CREDIT,VESTA *CHATR 888-278-5588 BC,Rewards earned: -0.11 ~ Category: Bill Payment,11.3
5/26/2016,DEBIT,VESTA *CHATR 888-278-5588 BC,Rewards earned: 0.51 ~ Category: Bill Payment,-50.85
5/26/2016,DEBIT,VESTA *CHATR 888-278-5588 BC,Rewards earned: 0.40 ~ Category: Bill Payment,-39.55
5/24/2016,DEBIT,Uber BV help.uber.com NLD NLD,Rewards earned: 0.17 ~ Category: Bill Payment,-17.22
5/23/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.84 ~ Category: Groceries,-21.1
5/22/2016,DEBIT,CDN TIRE STORE #00019 NORTH YORK,Rewards earned: 0.07 ~ Category: Home Improvement,-6.77
5/22/2016,DEBIT,FORTINO'S NORTH YORK ON,Rewards earned: 2.69 ~ Category: Groceries,-67.24
5/18/2016,DEBIT,ESSO NORTH YORK ON,Rewards earned: 1.72 ~ Category: Gas,-43
5/18/2016,DEBIT,123InkCartridges.ca LACHINE QC,Rewards earned: 0.59 ~ Category: Other,-59.19
5/18/2016,DEBIT,CANADIAN FRIENDS OF MI NORTH YOR,Rewards earned: 0.20 ~ Category: Other,-20
5/17/2016,DEBIT,PAYPATH S FEE GA TECH 0913599669,Rewards earned: 0.29 ~ Category: Other,-29.32
5/17/2016,DEBIT,GA INST TECH PAYPATH 09135996699,Rewards earned: 10.66 ~ Category: Other,-1066.33
5/16/2016,DEBIT,3M LAWRENCE PHARMACY NORTH YORK ,Rewards earned: 0.65 ~ Category: Drug Store,-65.27
5/16/2016,DEBIT,SHOPPERS DRUG MART #08 NORTH YOR,Rewards earned: 0.13 ~ Category: Drug Store,-13.08
5/13/2016,DEBIT,THE KOSHER GOURMET TORONTO ON,Rewards earned: 1.24 ~ Category: Restaurant,-30.94
5/13/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 1.17 ~ Category: Groceries,-29.14
5/11/2016,DEBIT,PETROCAN TORONTO ON,Rewards earned: 1.56 ~ Category: Gas,-39.1
Transaction date,Transaction,Name,Memo,Amount
7/10/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.40 ~ Category: Groceries,-9.97
7/8/2016,CREDIT,PREAUTHORIZED PAYMENT,,2600.22
7/6/2016,DEBIT,DR LAFFA ON THE GO TORONTO ON,Rewards earned: 1.08 ~ Category: Restaurant,-27.1
7/3/2016,DEBIT,ESSO NORTH YORK ON,Rewards earned: 1.29 ~ Category: Gas,-32.24
7/3/2016,DEBIT,BISTRO GRANDE TORONTO ON,Rewards earned: 2.68 ~ Category: Restaurant,-67.12
7/1/2016,DEBIT,THE KOSHER GOURMET TORONTO ON,Rewards earned: 1.03 ~ Category: Restaurant,-25.65
7/1/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.46 ~ Category: Groceries,-11.59
7/1/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 1.00 ~ Category: Groceries,-24.95
6/29/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.20 ~ Category: Groceries,-4.99
6/29/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 3.34 ~ Category: Groceries,-83.55
6/28/2016,DEBIT,CDN TIRE STORE #00019 NORTH YORK,Rewards earned: 0.28 ~ Category: Home Improvement,-28.24
6/28/2016,DEBIT,LCBO/RAO #657 TORONTO ON,Rewards earned: 1.00 ~ Category: Other,-100.15
6/26/2016,DEBIT,VESTA *CHATR 888-278-5588 BC,Rewards earned: 0.28 ~ Category: Bill Payment,-28.25
6/22/2016,DEBIT,ESSO NORTH YORK ON,Rewards earned: 0.96 ~ Category: Gas,-24.01
6/16/2016,CREDIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: -0.12 ~ Category: Groceries,2.99
6/16/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 1.32 ~ Category: Groceries,-33.03
6/14/2016,DEBIT,FORTINO'S NORTH YORK ON,Rewards earned: 0.95 ~ Category: Groceries,-23.68
6/14/2016,DEBIT,PETROCAN TORONTO ON,Rewards earned: 1.13 ~ Category: Gas,-28.32
6/14/2016,DEBIT,CDN TIRE STORE #00019 NORTH YORK,Rewards earned: 0.54 ~ Category: Home Improvement,-54.23
6/10/2016,DEBIT,THE KOSHER GOURMET TORONTO ON,Rewards earned: 1.60 ~ Category: Restaurant,-40.11
6/10/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.49 ~ Category: Groceries,-12.21
6/10/2016,DEBIT,MIRIAMS GIFT GALLERY TORONTO ON,Rewards earned: 0.82 ~ Category: Other,-81.9
Transaction date,Transaction,Name,Memo,Amount
8/11/2016,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 3.57 ~ Category: Groceries,-178.55
8/10/2016,DEBIT,TOV LI PIZZA AND FALAF NORTH YOR,Rewards earned: 0.21 ~ Category: Restaurant,-21.48
8/9/2016,CREDIT,PREAUTHORIZED PAYMENT,,741.29
8/7/2016,DEBIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: 0.64 ~ Category: Other,-64.13
8/7/2016,DEBIT,ESSO NORTH YORK ON,Rewards earned: 0.71 ~ Category: Gas,-35.25
8/5/2016,DEBIT,SLICE N BITES INC NORTH YORK ON,Rewards earned: 0.18 ~ Category: Restaurant,-18.08
7/29/2016,DEBIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: 0.65 ~ Category: Other,-64.73
7/26/2016,DEBIT,CA VENDING 800-387-930 CONCORD O,Rewards earned: 0.01 ~ Category: Other,-1.25
7/26/2016,DEBIT,VESTA *CHATR 888-278-5588 BC,Rewards earned: 0.57 ~ Category: Bill Payment,-28.25
7/25/2016,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 4.18 ~ Category: Groceries,-208.89
7/22/2016,DEBIT,THE PLACE SETTING TORONTO ON,Rewards earned: 0.14 ~ Category: Other,-14.45
7/22/2016,DEBIT,UNDERWRAPS LINGERIE NORTH YORK O,Rewards earned: 0.95 ~ Category: Other,-94.92
7/21/2016,DEBIT,CARTER'S OSHKOSH #4 TORONTO ON,Rewards earned: 0.51 ~ Category: Other,-51.38
7/19/2016,DEBIT,SHUTTERFLY 800-986-1065 CA USA,Rewards earned: 0.13 ~ Category: Other,-13.21
7/18/2016,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 1.03 ~ Category: Groceries,-51.5
7/14/2016,DEBIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: 1.95 ~ Category: Other,-194.6
7/12/2016,DEBIT,ESSO NORTH YORK ON,Rewards earned: 0.60 ~ Category: Gas,-30.05
Transaction date,Transaction,Name,Memo,Amount
9/9/2016,CREDIT,PREAUTHORIZED PAYMENT,,975.15
9/8/2016,DEBIT,SHOPPERS DRUG MART #08 NORTH YOR,Rewards earned: 0.13 ~ Category: Drug Store,-13.13
9/8/2016,DEBIT,NORTHWEST HEALTHCARE P TORONTO O,Rewards earned: 0.12 ~ Category: Parking,-12
9/7/2016,CREDIT,SIMCHAS HACHAIM 718-258-7400 NY ,Rewards earned: -0.04 ~ Category: Other,3.93
9/6/2016,CREDIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: -0.56 ~ Category: Other,56.48
9/6/2016,DEBIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: 3.52 ~ Category: Other,-351.53
9/5/2016,DEBIT,TARGET PARK GROUP INC  TORONTO O,Rewards earned: 0.04 ~ Category: Parking,-4.25
9/4/2016,DEBIT,TORONTO PARKING AUTHOR TORONTO O,Rewards earned: 0.01 ~ Category: Parking,-1
9/2/2016,DEBIT,ABE'S SERVICE CENTRE NORTH YORK ,Rewards earned: 0.66 ~ Category: Other,-65.53
9/2/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.28 ~ Category: Groceries,-14.09
9/2/2016,DEBIT,MIRIAMS GIFT GALLERY TORONTO ON,Rewards earned: 0.16 ~ Category: Other,-15.82
9/1/2016,DEBIT,ESSO NORTH YORK ON,Rewards earned: 0.80 ~ Category: Gas,-40.1
9/1/2016,DEBIT,DR LAFFA ON THE GO TORONTO ON,Rewards earned: 0.27 ~ Category: Restaurant,-27.1
8/30/2016,DEBIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: 4.50 ~ Category: Groceries,-224.93
8/30/2016,CREDIT,NOFRILLS PATS 1330 NORTH YORK ON,Rewards earned: -0.12 ~ Category: Groceries,6
8/29/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.18 ~ Category: Groceries,-9.09
8/28/2016,DEBIT,SAVOURS FRESH MARKET L NORTH YOR,Rewards earned: 0.79 ~ Category: Groceries,-39.62
8/28/2016,DEBIT,WAL-MART # 3105 TORONTO ON,Rewards earned: 0.15 ~ Category: Other,-14.59
8/26/2016,CREDIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: -0.15 ~ Category: Other,14.66
8/26/2016,DEBIT,COSTCO WHOLESALE W535 TORONTO ON,Rewards earned: 2.31 ~ Category: Other,-230.75
8/26/2016,DEBIT,VESTA *CHATR 888-278-5588 BC,Rewards earned: 0.57 ~ Category: Bill Payment,-28.25
8/25/2016,DEBIT,PREMIER PHARMACY AND C NORTH YOR,Rewards earned: 1.03 ~ Category: Drug Store,-102.88
